Class,Not_Transit-like_False_Positive_Flag,Orbit_Period,Transit_Epoch,Transit_Duration,Transit_Depth,Planetary_Radius,Insolation_Flux,Transit_Signal-to-Noise,Stellar_Surface_Gravity,Stellar_Radius
1,0,5.007316661,173.433997,4.2362,6932.3,6.96,234.28,431.4,4.563,0.827
1,0,2.211116989,170.150139,1.6485,724.2,1.85,177.19,42.6,4.656,0.646
1,0,27.9541337,178.73791,3.95,942.5,1.9,6.04,25.4,4.656,0.646
0,0,12.69104387,137.12594,3.7727,252.1,2.57,244.3,60.2,4.024,1.626
0,0,4.409409243,171.89433,3.8636,12861.0,10.95,347.06,85.8,4.368,0.975
1,0,16.23947096,175.569907,4.0374,2590.7,4.14,30.14,123.8,4.564,0.837
1,0,6.308201629,174.047661,2.9785,1328.5,2.96,106.44,86.2,4.564,0.837
1,0,2.052349884,169.890622,2.0778,14281.0,13.12,1183.18,1072.1,4.393,1.08
1,0,9.7704486,175.71372,2.4517,1897.8,2.23,10.59,58.0,4.73,0.509
1,0,5.169804269,172.63153,2.153,1037.4,1.66,24.75,41.4,4.73,0.509
1,0,21.22261195,137.57403,6.5093,366.0,2.48,83.56,114.9,4.213,1.302
1,0,20.09017037,147.97788,4.154,1432.1,2.25,4.05,36.9,4.73,0.509
1,0,7.11373257,174.32351,2.1764,807.6,1.16,8.01,44.4,4.855,0.411
1,0,3.306551643,134.37211,1.8177,509.2,0.91,22.19,37.8,4.855,0.411
1,0,15.36845737,147.38965,2.4714,756.1,1.11,2.86,30.9,4.855,0.411
1,0,13.81020318,172.33533,3.048,1309.7,4.56,113.75,46.2,4.327,1.142
1,0,4.093578461,171.00954,2.5833,538.6,2.85,461.07,36.4,4.471,0.999
1,0,105.145959,178.367,8.593,685.4,3.43,6.09,15.4,4.471,0.999
1,0,10.8484518,171.80584,2.9993,1675.6,2.34,14.66,64.5,4.682,0.591
1,0,6.66833241,137.43988,1.915,362.3,1.18,28.06,14.2,4.682,0.591
1,0,4.082274889,169.6375652,3.23015,17859.0,10.55,251.48,1669.1,4.581,0.794
1,0,3.886655224,169.73814,3.1646,581.6,1.87,246.29,48.1,4.61,0.738
1,0,42.1406089,139.0604,5.083,895.5,1.85,3.49,21.6,4.656,0.646
1,0,4.617490562,135.04909,2.2618,575.8,1.62,66.47,28.1,4.656,0.646
1,0,10.19849255,137.92067,2.4283,634.1,1.75,23.11,21.4,4.656,0.646
0,0,5.795063956,172.697467,3.2496,1692.9,4.33,192.74,119.4,4.563,0.827
1,0,7.15681552,174.13511,2.5882,867.0,2.47,88.23,47.7,4.494,0.838
1,0,17.64830851,133.54533,2.0873,763.3,2.43,26.49,23.8,4.494,0.838
1,0,4.14810719,133.3881,2.535,175.2,1.08,182.76,12.9,4.494,0.838
